Class,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
0,0.903422,2.658786,2.656275,1.94308,2.38506,7.199127,-2.661298,-3.536468,1.617873,-3.824007,-3.084443,-1.366748,-3.979704,-0.910956
0,1.543791,3.763737,2.74668,2.441563,2.978971,8.133312,-6.15947,-4.319979,1.406928,-1.776082,-4.746891,-3.983471,-1.801194,-0.230407
0,-0.638485,1.990794,0.140002,1.314012,4.788327,6.872665,-6.930424,-7.025851,1.354192,-0.877054,-1.787383,-3.144713,2.719056,1.224862
0,-2.79565,-0.544314,-3.150992,-0.652297,5.539191,4.731824,-5.974893,-8.535113,0.477765,-0.816784,3.468665,0.093544,5.928435,2.229363
0,-1.94308,-0.393639,-4.287332,-1.419484,3.350636,2.199228,-3.26902,-5.669776,-0.553103,0.894633,4.416662,-0.510412,5.561792,1.622896
0,-0.54808,1.032752,-3.689655,-0.74898,1.287644,-0.661087,0.745214,0.241708,0.495344,4.166792,0.004395,-5.476409,3.374493,-0.224129
0,-2.140213,-1.253742,-2.649997,-0.692477,1.335357,-2.656275,3.944547,5.786549,3.621851,5.041963,-3.306689,-6.656697,1.381816,-1.755992
0,-4.203205,-6.182071,-1.01894,-1.900389,0.121168,-3.694677,3.967148,8.476098,5.063309,2.819506,-1.631685,-0.692477,0.421262,-1.542536
0,-1.700744,-5.876954,0.57696,-2.169093,-4.313701,-6.23104,0.718845,7.211684,1.858953,2.781838,0.990061,4.22204,1.533746,0.397405
0,3.855397,1.214817,0.754003,-0.269332,-7.554469,-10.493888,-2.769281,3.281577,-3.43853,6.399294,0.716334,2.157792,3.82024,2.327301
0,5.725023,5.345824,1.091766,1.679399,-5.712467,-11.49211,-3.080677,0.303233,-5.581882,6.047719,0.172648,-0.214084,3.13718,2.578426
0,2.410173,0.580727,4.461864,1.826307,-1.781104,-5.991216,-0.855709,0.00565,-3.572882,-2.559592,1.901644,3.896833,-1.931779,1.610339
0,-0.072198,-4.267242,8.425873,1.592761,-0.209062,0.868265,-0.502878,-0.460187,-1.499844,-10.272898,2.737891,8.536368,-6.012561,1.135713
0,1.928013,0.389872,6.724501,2.43403,-0.077221,2.386316,-3.662031,-3.87172,-2.126401,-7.302089,0.514179,5.514078,-4.243385,1.390605
0,4.027418,8.366859,-0.781627,2.599772,1.591505,0.751492,-5.85812,-7.963803,-3.274043,0.741447,-0.534269,-0.961181,0.23543,1.057864
0,1.571415,7.725234,-6.46082,0.411217,3.945802,3.124623,-2.877265,-8.897988,-2.086221,1.74218,2.390083,-2.08371,1.669354,-0.176415
0,-2.430263,0.787905,-5.718745,-1.911689,4.124101,9.334946,2.613584,-7.022084,0.428796,-3.53898,4.055042,0.303233,0.167626,-1.193472
0,-2.369993,-0.707545,-2.627396,-1.511145,2.047297,11.952924,5.271743,-4.740613,1.656798,-4.588682,-0.214084,-1.477243,-1.002617,-1.690699
0,0.535524,3.419695,-1.851419,0.216595,0.182693,8.257619,5.224029,-1.301456,1.585227,0.148792,-5.599461,-6.415617,-1.847653,-2.555825
0,0.163859,2.005861,-2.009628,-0.029507,0.432563,3.741135,6.513556,4.970393,1.84263,2.150258,-5.492733,-7.250608,-3.350636,-3.687144
0,-4.416662,-6.67302,-0.844408,-1.926757,2.544525,2.351158,9.220684,11.158114,2.427751,-0.755259,-2.440308,-3.57916,-3.28911,-3.778804
0,-7.013295,-10.766359,-0.172648,-2.429007,3.761225,0.819295,8.9118,12.180193,2.426496,-0.923512,-2.719056,-1.383071,-0.167626,-2.526946
0,-3.512612,-4.68411,-1.005128,-0.966204,0.669876,-4.351369,3.419695,8.015284,2.43403,4.64393,-4.853619,-1.880299,2.891077,-0.823062
0,2.240663,1.786127,0.17516,0.23543,-5.835518,-10.13729,-4.545991,3.456108,3.166059,8.586593,-2.740402,-0.696244,3.1083,1.202261
0,4.243385,0.000628,4.911378,0.263053,-9.318623,-11.171926,-11.011206,1.067909,3.024173,5.28681,3.176104,3.279065,2.471698,3.776293
0,2.141469,-4.577382,7.791782,0.23543,-5.483943,-7.207917,-13.310255,-0.897144,0.348436,-0.805484,6.852575,6.341535,3.153503,5.418651
0,-0.021973,-3.302922,3.845352,0.402428,1.276343,-2.805695,-10.508955,-3.75118,-2.997805,-2.862198,6.514812,6.3114,3.577904,4.323746
0,-0.220362,1.827563,-3.142202,-0.077221,3.77127,-1.045308,-4.793349,-6.111756,-3.723557,-0.826829,5.482688,4.450564,2.680132,1.728368
